Date,Open,High,Low,Close,Adj Close,Volume
2021-09-14,26.549999,26.879999,26.370001,26.680000,16.420815,12296700
2021-09-15,26.750000,27.299999,26.620001,26.969999,16.599298,12428700
2021-09-16,26.870001,26.940001,26.240000,26.719999,16.445435,9982400
2021-09-17,26.610001,26.700001,25.500000,25.500000,15.694556,31723100
2021-09-20,24.840000,25.240000,24.500000,25.230000,15.528379,20098700
2021-09-21,25.480000,25.840000,25.160000,25.629999,15.774567,11818300
2021-09-22,25.940001,26.740000,25.940001,26.459999,16.285410,12562500
2021-09-23,26.459999,27.559999,26.459999,27.559999,16.962429,14710700
2021-09-24,27.350000,27.840000,27.150000,27.559999,16.962429,12849300
2021-09-27,27.690001,28.379999,27.350000,27.990000,17.227083,19582400
2021-09-28,27.940001,28.830000,27.610001,27.750000,17.079370,16663600
2021-09-29,28.010000,28.389999,27.549999,28.170000,17.337868,27541000
2021-09-30,28.330000,28.420000,27.889999,28.150000,17.325560,19250400
2021-10-01,27.990000,28.770000,27.889999,28.680000,17.651760,10554300
2021-10-04,28.410000,29.440001,28.379999,29.379999,18.082592,20216400
2021-10-05,29.500000,30.129999,29.490000,29.870001,18.384172,15317400
2021-10-06,29.570000,29.750000,29.000000,29.139999,17.934877,14920700
2021-10-07,29.110001,29.500000,28.770000,29.200001,17.971806,11538500
2021-10-08,29.450001,30.230000,29.379999,29.790001,18.334936,17070200
2021-10-11,30.150000,30.500000,29.700001,29.770000,18.322626,14617900
2021-10-13,29.650000,30.480000,29.540001,30.299999,18.648825,17118700
2021-10-14,30.379999,30.889999,30.040001,30.250000,18.618052,15841300
2021-10-15,30.209999,30.379999,30.000000,30.160000,18.562658,10692300
2021-10-18,29.900000,30.450001,29.610001,30.200001,18.587280,13503600
2021-10-19,29.799999,29.990000,28.700001,28.879999,17.774855,28178500
2021-10-20,29.090000,29.740000,28.799999,29.500000,18.156448,17058200
2021-10-21,28.790001,29.180000,27.920000,28.459999,17.516356,33786700
2021-10-22,28.100000,28.360001,26.820000,27.900000,17.171692,43723800
2021-10-25,28.410000,29.770000,28.360001,29.610001,18.224150,38562900
2021-10-26,29.200001,29.879999,29.110001,29.270000,18.014889,15450300
2021-10-27,29.400000,29.600000,29.070000,29.309999,18.039507,16128000
2021-10-28,29.030001,29.750000,28.809999,29.590000,18.211840,20121300
2021-10-29,29.400000,29.400000,27.459999,27.670000,17.030132,33651200
2021-11-01,28.230000,29.090000,28.090000,28.700001,17.664068,33225700
